op_id,worker_id,operation,start_ns,end_ns,latency_ms,status,attempt_count,leader_before,leader_after,error
1,1,1,1777305100736171000,1777305101365604000,629.433,OK,1,localhost:50051,localhost:50051,
2,1,2,1777305101365639000,1777305101982652000,617.013,OK,1,localhost:50051,localhost:50051,
3,1,3,1777305101982681000,1777305102604434000,621.753,OK,1,localhost:50051,localhost:50051,
4,1,4,1777305102604457000,1777305103245835000,641.378,OK,1,localhost:50051,localhost:50051,
5,1,5,1777305103245849000,1777305103869224000,623.375,OK,1,localhost:50051,localhost:50051,
6,1,6,1777305103869255000,1777305104682287000,813.032,OK,1,localhost:50051,localhost:50051,
7,1,7,1777305104682315000,1777305105476997000,794.682,OK,1,localhost:50051,localhost:50051,
8,1,8,1777305105477030000,1777305106127946000,650.916,OK,1,localhost:50051,localhost:50051,
9,1,9,1777305106127976000,1777305106784178000,656.202,OK,1,localhost:50051,localhost:50051,
10,1,10,1777305106784198000,1777305107506641000,722.443,OK,1,localhost:50051,localhost:50051,
11,1,11,1777305107579567000,1777305109010529000,1430.962,OK,7,localhost:50051,localhost:50052,
12,1,12,1777305109010585000,1777305109630941000,620.356,OK,1,localhost:50052,localhost:50052,
13,1,13,1777305109630966000,1777305110347528000,716.562,OK,1,localhost:50052,localhost:50052,
14,1,14,1777305110347546000,1777305111006365000,658.819,OK,1,localhost:50052,localhost:50052,
15,1,15,1777305111006387000,1777305111706278000,699.891,OK,1,localhost:50052,localhost:50052,
16,1,16,1777305111706296000,1777305112416217000,709.921,OK,1,localhost:50052,localhost:50052,
17,1,17,1777305112416255000,1777305113065142000,648.887,OK,1,localhost:50052,localhost:50052,
18,1,18,1777305113065166000,1777305113759115000,693.949,OK,1,localhost:50052,localhost:50052,
19,1,19,1777305113759151000,1777305114512978000,753.827,OK,1,localhost:50052,localhost:50052,
20,1,20,1777305114513008000,1777305115234868000,721.860,OK,1,localhost:50052,localhost:50052,
